E1_1 Int (Treated)	E1_2 Int (Treated)	E1_3 Int (Treated)	E2_1 Int (Treated)	E2_2 Int (Treated)	E2_3 Int (Treated)	E3_1 Int (Treated)	E3_2 Int (Treated)	E3_3 Int (Treated)	F4_1 Int (Treated)	F4_2 Int (Treated)	F4_3 Int (Treated)	F5_1 Int (Treated)	F5_2 Int (Treated)	F5_3 Int (Treated)	F7_1 Int (Treated)	F7_2 Int (Treated)	F7_3 Int (Treated)	C3_1 Int (Treated)	C3_2 Int (Treated)	C3_3 Int (Treated)	E4_1 Int (Treated)	E4_2 Int (Treated)	E4_3 Int (Treated)	E5_1 Int (Treated)	E5_2 Int (Treated)	E5_3 Int (Treated)	E6_1 Int (Treated)	E6_2 Int (Treated)	E6_3 Int (Treated)	F1_1 Int (Treated)	F1_2 Int (Treated)	F1_3 Int (Treated)	F2_1 Int (Treated)	F2_2 Int (Treated)	F2_3 Int (Treated)	F3_1 Int (Treated)	F3_2 Int (Treated)	F3_3 Int (Treated)	F6_1 Int (Treated)	F6_2 Int (Treated)	F6_3 Int (Treated)
0	0	0	0	18.06105	15.1083	0	18.23502	0	0	0	0	0	18.74136	0	0	14.2687	18.42649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.69865	0	0	0	0	0	0	0	0
14.52203	0	0	0	0	14.22429	0	0	0	0	0	0	0	0	0	0	0	14.34009	0	0	0	0	0	13.93143	0	0	0	0	13.61975	0	0	0	0	0	0	0	14.30743	0	0	0	13.80032	0
14.96889	13.98727	13.96334	14.36347	14.9081	13.85691	0	0	14.78676	14.80984	14.74894	13.48989	14.92109	14.84705	14.80676	14.99602	14.7298	14.46192	0	0	0	13.91895	13.80905	0	14.2378	13.85796	13.79909	13.59556	14.91344	13.81741	0	0	0	0	0	0	13.84201	13.90486	13.92556	15.08523	14.8286	14.80833
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	14.71054	14.0811	0	0	0	0	0	0	0	0	0	0	10.77899	11.23391	11.98577	0	0	0	0	10.84546	0	0	0	0	12.8597	0	0	0	0	0	15.33514	0	0	0	10.54684	0	0	0	11.07923
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.06489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	13.87476	14.06938	0	0	0	14.46013	0	0	0	0	0	0	0	12.99111	0	0	0	15.21192	0	0	0	13.56436	0	0	0	0	13.45028	0	0	0	0	0	0	0	0	13.44125	0	0	0
0	0	0	0	0	0	14.6101	0	0	0	0	0	0	0	0	0	0	0	14.68628	14.75929	0	0	0	0	14.26853	0	0	0	0	0	14.54296	0	0	0	0	0	14.34528	0	0	0	0	0
14.33683	14.8039	14.59638	14.62555	0	14.72777	0	0	0	14.19429	14.21248	13.93403	0	15.77849	15.86544	15.58195	13.71564	13.74934	0	0	0	14.74478	14.83138	14.71781	14.72186	14.8569	14.74652	14.85186	15.81787	14.73382	0	0	0	0	0	0	14.69403	14.63663	14.54315	15.88255	15.89566	15.78222
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.1095	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	13.88848	13.93296	13.58146	13.95486	0	0	0	0	0	0	0	13.76787	0	0	0	0	0	13.80865	0	0	13.98934	0	0	0	0	0	0	0	0	0	0
0	0	0	16.68969	16.32268	16.64853	17.09857	17.12382	16.93447	0	0	0	0	0	0	0	0	0	16.74395	17.46195	16.9863	0	0	0	0	0	0	0	0	0	16.56774	16.65743	16.54673	16.06644	16.02477	0	0	0	0	0	0	0
0	0	0	0	0	0	13.43056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16.29012	16.0781	16.26927	15.88495	15.81903	15.96934	15.95179	16.22424	16.28799	16.23009	16.05589	16.07794	16.25211	15.94861	16.12024	16.05366	16.15989	16.35224	16.02732	16.28262	15.91845	16.28399	16.36875	15.88027	16.20625	16.18904	16.13183	16.28303	15.84204	16.24093	16.22851	16.14038	16.08331	15.93156	16.1674	16.04397	16.00962	16.06862	16.09812	15.86357	16.26987	16.18154
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.05715	11.55361	12.41178	0	0	0	0	12.76058	0	0	0	0	0	11.8134	11.88008	11.84489	11.84489	0	0	0	0	0	12.16363	0	0	0	12.42895
0	14.14915	14.01305	14.60683	14.01907	0	0	0	0	0	14.01398	13.88715	0	0	0	0	13.9513	14.66376	14.49035	0	14.14108	0	14.24396	0	0	0	14.30801	0	14.71302	0	13.97776	14.61912	0	14.44528	0	0	14.2845	0	14.42303	0	0	0
0	0	15.09477	0	0	0	15.17083	15.25012	15.96818	0	0	0	0	0	0	0	0	0	15.14739	15.09977	0	0	14.98917	0	15.12571	15.19724	0	0	0	0	15.29046	15.09512	15.09661	0	15.33819	0	0	15.14793	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16.70712	16.70235	16.71601	16.63966	16.65508	16.52529	16.57774	16.60266	16.52594	0	16.39019	16.34712	16.31279	16.37839	16.34401	16.27624	16.29566	0	17.23827	17.18979	17.19368	16.60846	0	0	16.5363	16.51053	16.51326	0	0	16.45896	16.55545	0	16.42573	16.47124	0	16.42836	16.37754	0	0	16.24225	16.31224	16.35302
0	14.78158	0	0	0	14.7056	0	0	14.65979	14.58193	14.62207	0	0	13.61436	14.67762	0	0	0	0	0	0	0	0	14.76015	14.57544	14.72745	0	0	14.61179	14.78607	0	14.73909	0	0	0	13.92003	13.62428	14.78401	14.71995	0	14.60852	14.61292
16.48584	0	16.48258	16.43989	16.1451	16.52176	0	16.31746	16.21042	16.20084	16.20932	0	16.13494	0	0	0	0	16.03653	0	0	0	16.52962	16.61672	0	16.5171	16.68357	0	16.61736	16.24933	0	0	16.38389	16.37758	16.48544	0	0	0	0	0	16.18547	0	16.11004
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.07316	9.344224	11.14942	14.2033	0	0	0	9.393559	0	0	0	0	0	8.952103	10.18844	14.24695	14.24695	0	0	0	0	0	9.790759	0	0	0	9.357252
0	18.6341	0	0	0	0	0	0	0	0	15.15689	13.53645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.49987	0	0	18.55801	0	0	0	0	0	0	16.19278	0	18.88188	0	0	0
0	0	0	14.75964	0	15.41781	15.75474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.93572	0	0	0	0	0	0	0
0	15.30023	0	0	15.26367	15.26355	0	15.21347	0	0	15.17977	15.2954	15.11013	0	0	15.24187	15.19891	15.22567	0	15.31598	15.13846	15.25929	15.44591	15.32078	15.48079	15.42613	15.28213	0	0	15.2733	0	0	15.29062	0	15.10382	0	15.26187	14.86566	15.24488	15.13767	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
