A1_1 Int (Treated)	A1_2 Int (Treated)	A1_3 Int (Treated)	A2_1 Int (Treated)	A2_2 Int (Treated)	A2_3 Int (Treated)	A6_1 Int (Treated)	A6_2 Int (Treated)	A6_3 Int (Treated)	B1_1 Int (Treated)	B1_2 Int (Treated)	B1_3 Int (Treated)	B10_1 Int (Treated)	B10_2 Int (Treated)	B10_3 Int (Treated)	B2_1 Int (Treated)	B2_2 Int (Treated)	B2_3 Int (Treated)	B3_1 Int (Treated)	B3_2 Int (Treated)	B3_3 Int (Treated)	B5_1 Int (Treated)	B5_2 Int (Treated)	B5_3 Int (Treated)	B6_1 Int (Treated)	B6_2 Int (Treated)	B6_3 Int (Treated)	B8_1 Int (Treated)	B8_2 Int (Treated)	B8_3 Int (Treated)	A3_1 Int (Treated)	A3_2 Int (Treated)	A3_3 Int (Treated)	A4_1 Int (Treated)	A4_2 Int (Treated)	A4_3 Int (Treated)	A5_1 Int (Treated)	A5_2 Int (Treated)	A5_3 Int (Treated)	B4_1 Int (Treated)	B4_2 Int (Treated)	B4_3 Int (Treated)	B7_1 Int (Treated)	B7_2 Int (Treated)	B7_3 Int (Treated)	B9_1 Int (Treated)	B9_2 Int (Treated)	B9_3 Int (Treated)
10.52151	10.74131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.57709	12.77266	10.01025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.53792	11.20289	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.65554	0	0	12.48929	12.70598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.65068	0	0	0	0	0	0	0	0
9.353356	9.970436	9.12542	9.724289	9.9707	9.75701	0	0	0	0	0	0	0	0	0	0	15.35305	0	0	0	0	0	0	15.51465	16.02596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.99355	15.85619	15.91826
0	0	14.61764	14.614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.27921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.4664	13.37383	13.3772	13.31403	0	13.41587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	14.88933	14.89343	14.94277	14.86005	14.85651	14.69496	14.63895	14.05329	14.89084	14.79596	14.74765	14.76727	14.7092	14.77953	14.58881	14.52754	14.60567	14.65004	0	0	14.3014	14.53251	0	14.69586	14.58843	14.71302	14.70958	14.73478	14.83504	14.85109	14.85443	14.86279	14.787	14.80548	14.79766	14.83618	14.81354	14.88851	14.74606	14.8468	14.82533	14.60369	0	14.45995	0	14.51779	14.65999
12.19446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.82421	13.85276	12.48933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.70278	12.08633	0	0	15.69976	15.03763
9.931786	9.684668	9.319975	10.57954	10.92342	10.48897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.24166	16.61563	15.95507	0	0	0	0	0	10.19418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.41463	12.45685	12.59346	12.66104	12.67904	12.75253	0	0	0	0	0	0	0	12.03378	0	0	0	14.85827	0	0	0	0	0	0	0	0	0	0	0	0	12.519	12.67377	12.39629	12.48776	12.56227	12.64919	12.58491	12.50032	0	0	0	0	0	0	0	0	0	0
5.571342	7.142605	5.572131	7.016292	7.110003	6.28761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.316771	11.47817	8.580737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
